Host,Species,Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Isolation_Source,Collection_Date,BioSample,GenBank_Title,Species_superkingdom,Species_clade,Species_kingdom,Species_phylum,Species_class,Species_order,Species_family,Species_genus,Species_species,Species_no rank,Host_no rank,Host_superkingdom,Host_clade,Host_kingdom,Host_phylum,Host_subphylum,Host_superclass,Host_class,Host_infraclass,Host_order,Host_family,Host_genus,Host_species,Host_superorder,Host_suborder,Host_subfamily,Host_superfamily,Host_subspecies,Host_subclass,Host_cohort,Host_infraorder,Host_tribe,Host_subgenus,Host_parvorder,Host_subcohort
Apteryx rowi,Apteryx rowi circovirus-like virus,GCF_004129215.1,NA,"White,D.J., Hall,R.J., Wang,J., Park,D., Moore,N., McInnes,K., Gartrell,B., Tompkins,D.",2019-02-12T15:25:00Z,JWNM 090913,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,New Zealand,New Zealand,NA,feces,2013-09-01,NA,ASM412921v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Apteryx rowi circovirus-like virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Palaeognathae,Apterygidae,Apteryx,Apteryx rowi,Palaeognathae,,,,,,,,,,,
Arctocephalus forsteri,Fur seal faeces associated circular DNA virus,GCF_000919715.1,NA,"Sikorski,A., Dayaram,A., Varsani,A.",2015-02-22T18:56:43Z,as50,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,feces,2012-10,NA,ViralProj243502,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Fur seal faeces associated circular DNA virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Otariidae,Arctocephalus,Arctocephalus forsteri,Laurasiatheria,Caniformia,,,,,,,,,,
Artemisina melana,Artemia melana sponge associated circular genome,GCF_001274325.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:06:26Z,I0307,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293719,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Artemia melana sponge associated circular genome,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Porifera,,Demospongiae,Demospongiae,,Poecilosclerida,Microcionidae,Artemisina,Artemisina melana,,,,,,Heteroscleromorpha,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 1,GCF_000954875.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:59:36Z,AHEaCV-1-NZ-2981C1-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277514,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 1,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Veneroidea,Austrovenus,Austrovenus stutchburyi,Imparidentia,,,Veneroidea,,Autobranchia,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 4,GCF_000955295.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:01:02Z,AHEaCV-4-NZ-3049C1-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277524,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 4,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Veneroidea,Austrovenus,Austrovenus stutchburyi,Imparidentia,,,Veneroidea,,Autobranchia,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 2,GCF_000955535.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:01:34Z,AHEaCV-2-NZ-3024C1-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277500,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 2,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Veneroidea,Austrovenus,Austrovenus stutchburyi,Imparidentia,,,Veneroidea,,Autobranchia,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 12,GCF_000955575.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:01:32Z,AHEaCV-12-NZ-3316C1-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277511,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 12,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Veneroidea,Austrovenus,Austrovenus stutchburyi,Imparidentia,,,Veneroidea,,Autobranchia,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 17,GCF_000954835.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:59:25Z,AHEaCV-17-NZ-2032CO-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277506,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 17,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Veneroidea,Austrovenus,Austrovenus stutchburyi,Imparidentia,,,Veneroidea,,Autobranchia,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 3,GCF_000954575.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:58:46Z,AHEaCV-3-NZ-3030C2-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277525,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 3,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Veneroidea,Austrovenus,Austrovenus stutchburyi,Imparidentia,,,Veneroidea,,Autobranchia,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 5,GCF_000955635.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:01:46Z,AHEaCV-5-NZ-3091C2-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277523,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 5,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Veneroidea,Austrovenus,Austrovenus stutchburyi,Imparidentia,,,Veneroidea,,Autobranchia,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 7,GCF_000954555.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:58:46Z,AHEaCV-7-NZ-3107C3-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277521,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 7,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Veneroidea,Austrovenus,Austrovenus stutchburyi,Imparidentia,,,Veneroidea,,Autobranchia,,,,,,
Barbus barbus,Barbel circovirus,GCF_000892615.1,NA,"Lorincz,M., Csagola,A., Farkas,S.L., Szekely,C., Tuboly,T., Farkas,S.",2015-02-22T18:16:10Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Hungary,Hungary,NA,NA,2008-07-02,NA,ViralProj65821,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Barbel circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Actinopterygii,Actinopterygii,Teleostei,Cypriniphysae,Cyprinidae,Barbus,Barbus barbus,Cypriniphysae,Cyprinoidei,Barbinae,,,Neopterygii,Otomorpha,,,,,Ostariophysi
Blattodea,Cockroach associated cyclovirus 1,GCF_000905135.1,NA,"Padilla-Rodriguez,M., Rosario,K., Breitbart,M.",2015-02-22T18:38:39Z,GS140,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,"USA: Tarpon Springs, Florida",USA,FL,NA,2011-02-20,NA,ViralProj188548,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Cockroach associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Hexapoda,Insecta,Insecta,Neoptera,Dictyoptera,,,,Dictyoptera,,,,,Pterygota,Polyneoptera,,,,,
Bos taurus,Bovine associated cyclovirus 1,GCF_002819885.1,NA,"Li,L., Shan,T., Soji,O.B., Alam,M.M., Kunz,T.H., Zaidi,S.Z., Delwart,E.",2018-08-25T01:03:17Z,PKbeef23,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Pakistan,Pakistan,NA,muscle,2009,NA,ASM281988v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bovine associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Bovidae,Bos,Bos taurus,Laurasiatheria,Ruminantia,Bovinae,,,,,Pecora,,,,
Calanoida,Calanoida sp. copepod associated circular virus,GCF_001274205.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:04:56Z,I0298,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293718,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Calanoida sp. copepod associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,Neocopepoda,Gymnoplea,,,,Gymnoplea,,,,,Copepoda,,,,,,
Callinectes ornatus,Callinectes ornatus blue crab associated circular virus,GCF_001274445.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:08:05Z,I0054,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293717,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Callinectes ornatus blue crab associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Portunoidea,Callinectes,Callinectes ornatus,Eucarida,Pleocyemata,Portuninae,Portunoidea,,Eumalacostraca,,Brachyura,,,,
Callinectes sapidus,Callinectes sapidus associated circular virus,GCF_001274065.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:02:18Z,I0056,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293716,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Callinectes sapidus associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Portunoidea,Callinectes,Callinectes sapidus,Eucarida,Pleocyemata,Portuninae,Portunoidea,,Eumalacostraca,,Brachyura,,,,
Callosciurus erythraeus thaiwanensis,Squirrel associated cyclovirus 1,GCF_001184985.1,NA,"Sato,G., Kawashima,T., Kiuchi,M., Tohya,Y.",2015-07-22T01:06:18Z,NA,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Japan:Kanagawa,Japan,NA,abdominal cavity,2014,NA,ViralProj290311,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Squirrel associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Sciuridae,Callosciurus,Callosciurus erythraeus,Euarchontoglires,Sciuromorpha,Callosciurinae,,Callosciurus erythraeus thaiwanensis,,,,Callosciurini,,,
Camelus bactrianus,Dromedary stool-associated circular ssDNA virus,GCF_000929015.1,NA,"Woo,P.C., Lau,S.K., Teng,J.L., Tsang,A.K., Joseph,M., Wong,E.Y., Tang,Y., Sivakumar,S., Bai,R., Wernery,R., Wernery,U., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Teng,J.L.L., Tsang,A.K.L., Wong,E.Y.M., Yuen,K.-Y.",2015-02-22T19:10:22Z,DcSCV_c954,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,United Arab Emirates,United Arab Emirates,NA,NA,2013,NA,ViralProj271034,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Dromedary stool-associated circular ssDNA virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Camelidae,Camelus,Camelus bactrianus,Laurasiatheria,Tylopoda,,,,,,,,,,
Canis lupus familiaris,Canine circovirus,GCF_000906275.1,NA,"Li,L., McGraw,S., Zhu,K., Leutenegger,C.M., Marks,S.L., Kubiski,S., Gaffney,P., Dela Cruz,F.N. Jr., Wang,C., Delwart,E., Pesavento,P.A., Pesavento,P.",2015-02-22T18:39:34Z,UCD1-1698,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,liver,2011-10,NA,ViralProj196432,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Canine circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Canidae,Canis,Canis lupus,Laurasiatheria,Caniformia,,,Canis lupus familiaris,,,,,,,
Capra hircus,Cyclovirus PKgoat21/PAK/2009,GCF_000889655.1,NA,"Li,L., Shan,T., Soji,O.B., Alam,M.M., Kunz,T.H., Zaidi,S.Z., Delwart,E.",2015-02-22T18:12:47Z,PKgoat21,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Pakistan,Pakistan,NA,muscle,2009,NA,ViralProj61947,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Cyclovirus PKgoat21/PAK/2009,unclassified Cyclovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Bovidae,Capra,Capra hircus,Laurasiatheria,Ruminantia,Caprinae,,,,,Pecora,,,,
Capra hircus,Goat associated cyclovirus 1,GCF_000891475.1,NA,"Li,L., Shan,T., Soji,O.B., Alam,M.M., Kunz,T.H., Zaidi,S.Z., Delwart,E.",2015-02-22T18:14:47Z,PKgoat11,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Pakistan,Pakistan,NA,NA,2009,NA,ViralProj61949,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Goat associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Bovidae,Capra,Capra hircus,Laurasiatheria,Ruminantia,Caprinae,,,,,Pecora,,,,
Chiroptera,Bat associated cyclovirus 5,GCF_000890515.1,NA,"Li,L., Shan,T., Soji,O.B., Alam,M.M., Kunz,T.H., Zaidi,S.Z., Delwart,E.",2015-02-22T18:13:41Z,CyCV-TB,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,muscle,2009,NA,ViralProj61951,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 5,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,,,,Laurasiatheria,,,,,,,,,,,
